name_of_covered_entity,state,covered_entity_type,individuals_affected,breach_submission_date,type_of_breach,location_of_breached_information
Western Connecticut Health Network,CT,Healthcare Provider,1293.0,8/19/2019,Unauthorized Access/Disclosure,Paper/Films
Cleveland Clinic Foundation,OH,Healthcare Provider,604.0,8/19/2019,Loss,Other Portable Electronic Device
Virginia Gay Hospital ,IA,Healthcare Provider,5030.0,8/16/2019,Hacking/IT Incident,Email
Hospice of San Joaquin,CA,Healthcare Provider,13000.0,8/16/2019,Hacking/IT Incident,Network Server
"Rhode Island Ear, Nose and Throat Physicians, Inc.",RI,Healthcare Provider,2943.0,8/16/2019,Hacking/IT Incident,Network Server
University of Michigan/Michigan Medicine,MI,Healthcare Provider,5466.0,8/16/2019,Hacking/IT Incident,Email
Community Psychiatric Clinic,WA,Healthcare Provider,5866.0,8/15/2019,Hacking/IT Incident,Email
Community Psychiatric Clinic,WA,Healthcare Provider,6641.0,8/15/2019,Hacking/IT Incident,Email
Community Psychiatric Clinic,WA,Healthcare Provider,3030.0,8/15/2019,Hacking/IT Incident,Email
Fairfield Medical Center,OH,Healthcare Provider,1182.0,8/15/2019,Unauthorized Access/Disclosure,Paper/Films
Bayview Dental,MN,Healthcare Provider,1938.0,8/13/2019,Hacking/IT Incident,Network Server
Grays Harbor Community Hospital,WA,Healthcare Provider,88399.0,8/12/2019,Hacking/IT Incident,"Electronic Medical Record, Network Server, Other"
Quorum Health,TN,Healthcare Provider,1269.0,8/11/2019,Unauthorized Access/Disclosure,Email
"Primary Medicine of Sherman, PA/Robert J. Hernandez MD",TX,Healthcare Provider,1335.0,8/11/2019,Unauthorized Access/Disclosure,Electronic Medical Record
"Harbor Health Services, Inc.",MA,Healthcare Provider,17380.0,8/9/2019,Hacking/IT Incident,Email
Renown Health,NV,Healthcare Provider,27004.0,8/9/2019,Loss,Other Portable Electronic Device
Mid-Valley Behavioral Care Network,OR,Business Associate,10710.0,8/9/2019,Hacking/IT Incident,Email
Walmart Inc.,AR,Healthcare Provider,4738.0,8/9/2019,Loss,Paper/Films
"Timothee T. Wilkin, D.O.",AR,Healthcare Provider,15113.0,8/9/2019,Hacking/IT Incident,"Electronic Medical Record, Network Server"
Cancer Center of Kansas,KS,Healthcare Provider,773.0,8/9/2019,Hacking/IT Incident,Network Server
Enlightened Solutions LLC,NJ,Healthcare Provider,844.0,8/9/2019,Hacking/IT Incident,Email
"IlliniCare Health Plan, Inc.",IL,Health Plan,3517.0,8/9/2019,Unauthorized Access/Disclosure,"Desktop Computer, Other"
Fire Department City of New York,NY,Healthcare Provider,10292.0,8/9/2019,Theft,Other Portable Electronic Device
Wisconsin Department of Corrections,WI,Healthcare Provider,1041.0,8/8/2019,Unauthorized Access/Disclosure,Email
"Community Health Choice, Inc.",TX,Health Plan,7855.0,8/8/2019,Unauthorized Access/Disclosure,Paper/Films
"Michael Amaro, MD, PA",TX,Healthcare Provider,500.0,8/8/2019,Unauthorized Access/Disclosure,"Electronic Medical Record, Other, Paper/Films"
Drexel Medicine,PA,Healthcare Provider,4340.0,8/7/2019,Hacking/IT Incident,Email
West Hills Hospital & Medical Center,CA,Healthcare Provider,10650.0,8/6/2019,Hacking/IT Incident,Network Server
"One Care Medical, LLC",VA,Healthcare Provider,651.0,8/6/2019,Hacking/IT Incident,Network Server
"Integrated Regional Laboratories, LLC",FL,Healthcare Provider,29644.0,8/5/2019,Hacking/IT Incident,Network Server
Wisconsin Diagnostic Laboratories,WI,Healthcare Provider,68212.0,8/2/2019,Hacking/IT Incident,Network Server
University of Missouri Health Care,MO,Healthcare Provider,14402.0,8/2/2019,Hacking/IT Incident,Email
Mount Sinai Hospital ,NY,Healthcare Provider,33730.0,8/2/2019,Hacking/IT Incident,Other
Presbyterian Healthcare Services,NM,Healthcare Provider,1120629.0,8/2/2019,Hacking/IT Incident,Email
BioReference Laboratories Inc. ,NJ,Healthcare Provider,425749.0,7/30/2019,Hacking/IT Incident,Other
"CompuNet Clinical Laboratories, LLC",OH,Healthcare Provider,111555.0,7/26/2019,Hacking/IT Incident,Network Server
Walmart Inc.,AR,Healthcare Provider,3135.0,7/26/2019,Loss,Paper/Films
Fordland Clinic Inc.,MO,Healthcare Provider,881.0,7/26/2019,Hacking/IT Incident,Email
Perry County Medical Center Inc. d/b/a Three Rivers Community Health Group,TN,Healthcare Provider,3812.0,7/26/2019,Hacking/IT Incident,Email
Laboratory of Dermatopathology,NY,Healthcare Provider,4082.0,7/25/2019,Hacking/IT Incident,Network Server
Arizona Dermatopathology,AZ,Healthcare Provider,5903.0,7/25/2019,Hacking/IT Incident,Network Server
"Laboratory Medicine Consultants, Ltd.",NV,Healthcare Provider,140590.0,7/25/2019,Hacking/IT Incident,Network Server
Seacoast Pathology,NH,Healthcare Provider,8992.0,7/25/2019,Hacking/IT Incident,Network Server
Austin Pathology,TX,Healthcare Provider,43676.0,7/25/2019,Hacking/IT Incident,Network Server
Western Pathology,NV,Healthcare Provider,4079.0,7/25/2019,Hacking/IT Incident,Network Server
"Pathology Solutions, LLC",NJ,Healthcare Provider,13270.0,7/25/2019,Hacking/IT Incident,Network Server
"Hennepin Healthcare System, Inc. dba Hennepin Healthcare",MN,Healthcare Provider,820.0,7/25/2019,Hacking/IT Incident,Email
"Susan Marshall, M.D.,PC",NY,Healthcare Provider,774.0,7/25/2019,Theft,Laptop
Temple University Health System,PA,Healthcare Provider,2399.0,7/25/2019,Hacking/IT Incident,Email
Wayne County Board of Developmental Disabilities,OH,Healthcare Provider,536.0,7/25/2019,Hacking/IT Incident,Network Server
RCCA MSO LLC,NJ,Business Associate,102000.0,7/23/2019,Hacking/IT Incident,Email
"Cosmetic Surgery Specialists, P.C.",PA,Healthcare Provider,3000.0,7/23/2019,Improper Disposal,Paper/Films
City of Philadelphia,PA,Health Plan,1458.0,7/19/2019,Loss,Laptop
Bayamon Medical Center Corp.,,Healthcare Provider,422496.0,7/19/2019,Hacking/IT Incident,Network Server
"Puerto Rico Women And Children's Hospital, LLC",,Healthcare Provider,99943.0,7/19/2019,Hacking/IT Incident,Network Server
"Security Health Plan of Wisconsin, Inc. ",WI,Health Plan,3657.0,7/19/2019,Hacking/IT Incident,Email
"Imperial Health, LLP",LA,Healthcare Provider,116262.0,7/18/2019,Hacking/IT Incident,"Desktop Computer, Network Server"
Rockville Eye Surgery Center LLC dba Palisades Eye Surgery Center,MD,Healthcare Provider,2696.0,7/17/2019,Hacking/IT Incident,Email
"Associates in Dermatology, PLLC",KY,Healthcare Provider,9020.0,7/16/2019,Hacking/IT Incident,Email
"Northwood, Inc.",MI,Business Associate,583.0,7/16/2019,Unauthorized Access/Disclosure,Email
"Northwood, Inc.",MI,Business Associate,3881.0,7/16/2019,Unauthorized Access/Disclosure,Email
Comprehensive Cancer Centers of Nevada,NV,Healthcare Provider,2251.0,7/16/2019,Theft,Paper/Films
Brewer Porch Children's Center / The University of Alabama,AL,Healthcare Provider,727.0,7/16/2019,Hacking/IT Incident,Network Server
"Northwood, Inc",MI,Business Associate,5563.0,7/15/2019,Unauthorized Access/Disclosure,Email
"Sunrise Medical Laboratories, Inc.",NY,Healthcare Provider,401901.0,7/15/2019,Hacking/IT Incident,Network Server
"CBLPath, Inc.",NY,Healthcare Provider,141956.0,7/15/2019,Unauthorized Access/Disclosure,Network Server
"Clinical Pathology Laboratories, Inc.",TX,Healthcare Provider,1733836.0,7/15/2019,Hacking/IT Incident,Network Server
Colorado Eye Center,CO,Healthcare Provider,4478.0,7/15/2019,Hacking/IT Incident,Other
Memphis Pathology Laboratory d/b/a American Esoteric Laboratories,TN,Healthcare Provider,417146.0,7/15/2019,Hacking/IT Incident,Network Server
"Natera, Inc.",CA,Healthcare Provider,3035.0,7/15/2019,Hacking/IT Incident,Network Server
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,10251784.0,7/13/2019,Hacking/IT Incident,Network Server
Wise Health System ,TX,Healthcare Provider,35899.0,7/13/2019,Hacking/IT Incident,Email
"Northwood, Inc.",MI,Business Associate,5000.0,7/12/2019,Unauthorized Access/Disclosure,Email
"Rogerson House, Inc.",MA,Healthcare Provider,500.0,7/12/2019,Hacking/IT Incident,Network Server
CentraCare Health System,MN,Healthcare Provider,2085.0,7/12/2019,Hacking/IT Incident,Network Server
"Penobscot Community Health Center, Inc.",ME,Healthcare Provider,13299.0,7/12/2019,Hacking/IT Incident,Other
Cancer Treatment Centers of America (CTCA) at Eastern Regional Medical Center,PA,Healthcare Provider,3904.0,7/12/2019,Hacking/IT Incident,Email
Cancer Treatment Centers of America (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,4559.0,7/12/2019,Hacking/IT Incident,Email
Hunt Regional Medical Center,TX,Healthcare Provider,3700.0,7/12/2019,Hacking/IT Incident,Network Server
"CareCentrix, Inc.",CT,Healthcare Provider,467621.0,7/11/2019,Hacking/IT Incident,Network Server
Essentia Health - Duluth,MN,Healthcare Provider,1377.0,7/10/2019,Hacking/IT Incident,Email
"Benefitfocus.com, Inc.",SC,Business Associate,827.0,7/10/2019,Unauthorized Access/Disclosure,Paper/Films
St. Croix Hospice,MN,Healthcare Provider,21407.0,7/9/2019,Hacking/IT Incident,Email
Nemadji Research Corporation d/b/a California Reimbursement Enterprises,MN,Business Associate,14591.0,7/8/2019,Hacking/IT Incident,Email
Ameritas Life Insurance Corp.,NE,Health Plan,39675.0,7/8/2019,Hacking/IT Incident,Email
Multnomah County Department of Human Services,OR,Business Associate,713.0,7/8/2019,Unauthorized Access/Disclosure,Other
"RGH Enterprises, Inc. d/b/a Edgepark Medical Supplies ",OH,Healthcare Provider,6572.0,7/5/2019,Hacking/IT Incident,Network Server
Alive Hospice,TN,Healthcare Provider,608.0,7/3/2019,Hacking/IT Incident,Email
Mercy Health System Corporation,WI,Healthcare Provider,5946.0,7/2/2019,Hacking/IT Incident,Email
"Adirondacks ACO, LLC",NY,Business Associate,39649.0,7/2/2019,Hacking/IT Incident,Email
Memorial Hermann Health System,TX,Healthcare Provider,507.0,7/2/2019,Unauthorized Access/Disclosure,Email
"Henderson County Urgent Care Centers, Inc. dba Margaret R. Pardee Memorial Hospital",NC,Healthcare Provider,590.0,7/1/2019,Theft,Paper/Films
"Optum360, LLC",MN,Business Associate,11500000.0,7/1/2019,Hacking/IT Incident,Network Server
Summa Health,OH,Healthcare Provider,7989.0,6/28/2019,Hacking/IT Incident,Email
Summa Health,OH,Healthcare Provider,2904.0,6/28/2019,Hacking/IT Incident,Email
Southwest Gastroenterology,IL,Healthcare Provider,1600.0,6/28/2019,Theft,Electronic Medical Record
Byham's Insurance Services Inc.,PA,Healthcare Clearing House,1600.0,6/27/2019,Unauthorized Access/Disclosure,"Desktop Computer, Email, Network Server"
Wyoming Department of Health,WY,Health Plan,2154.0,6/25/2019,Unauthorized Access/Disclosure,Email
Addison County Home Health & Hospice,VT,Healthcare Provider,758.0,6/25/2019,Hacking/IT Incident,Email
University of Iowa Hospitals & Clinics,IA,Healthcare Provider,950.0,6/25/2019,Unauthorized Access/Disclosure,Email
"Franciscan Alliance, Inc.",IN,Healthcare Provider,2180.0,6/24/2019,Unauthorized Access/Disclosure,Electronic Medical Record
"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc.",VA,Health Plan,2964778.0,6/21/2019,Hacking/IT Incident,Network Server
Adventist Health Physician Services,CA,Healthcare Provider,3797.0,6/21/2019,Improper Disposal,Paper/Films
Boulevard Surgical Associates,CA,Healthcare Provider,542.0,6/20/2019,Theft,Paper/Films
Community Physicians Group,AR,Healthcare Provider,5400.0,6/20/2019,Hacking/IT Incident,Email
"EyeCare Partners, LLC",MO,Healthcare Provider,141165.0,6/19/2019,Hacking/IT Incident,Network Server
Henry Ford Health System,MI,Healthcare Provider,1404.0,6/19/2019,Unauthorized Access/Disclosure,Email
Huntridge Family Clinic,NV,Healthcare Provider,2000.0,6/18/2019,Unauthorized Access/Disclosure,Paper/Films
Clear Dermatology and Aesthetics Center,AZ,Healthcare Provider,1282.0,6/17/2019,Theft,"Laptop, Other Portable Electronic Device"
Community Healthlink,MA,Healthcare Provider,4598.0,6/17/2019,Hacking/IT Incident,Email
"Inform Diagnostics, Inc.",TX,Healthcare Provider,173617.0,6/14/2019,Hacking/IT Incident,Network Server
"Desert Healthcare Services, LLC",AZ,Healthcare Provider,8000.0,6/11/2019,Hacking/IT Incident,Network Server
Kansas City VAMC,MO,Healthcare Provider,534.0,6/11/2019,Unauthorized Access/Disclosure,Paper/Films
"Sunshine State Health Plan, Inc.",FL,Health Plan,2000.0,6/7/2019,Unauthorized Access/Disclosure,Other
"TenX Systems, LLC d/b/a ResiDex Software",MN,Business Associate,90000.0,6/7/2019,Hacking/IT Incident,Network Server
Kingman Healthcare Incorporated,AZ,Healthcare Provider,1100.0,6/7/2019,Unauthorized Access/Disclosure,Other
Elim Care,MN,Healthcare Provider,2500.0,6/7/2019,Hacking/IT Incident,Network Server
Worcester Eye Consultants,MA,Healthcare Provider,2634.0,6/7/2019,Loss,Other
CAPITOL CARDIOLOGY ASSOCIATES,MD,Healthcare Provider,1980.0,6/7/2019,Unauthorized Access/Disclosure,Desktop Computer
SOUTHERN MARYLAND MEDICAL GROUP LLC,MD,Healthcare Provider,1400.0,6/7/2019,Unauthorized Access/Disclosure,Desktop Computer
Shingle Springs Health and Wellness Center,CA,Healthcare Provider,21513.0,6/5/2019,Hacking/IT Incident,Network Server
Rosenbaum Dental Group,FL,Healthcare Provider,1200.0,6/4/2019,Hacking/IT Incident,Desktop Computer
Humana Inc,KY,Health Plan,863.0,6/3/2019,Unauthorized Access/Disclosure,Network Server
"Health Quest Systems, Inc. ",NY,Healthcare Provider,372043.0,5/31/2019,Hacking/IT Incident,Email
City of Georgetown Fire Department,TX,Healthcare Provider,719.0,5/31/2019,Loss,Other Portable Electronic Device
"Broome County, New York",NY,Healthcare Provider,7048.0,5/31/2019,Hacking/IT Incident,Email
"Cerpassrx, LLC",TX,Health Plan,2513.0,5/31/2019,Hacking/IT Incident,Email
The Union Labor Life Insurance Company,MD,Health Plan,87400.0,5/31/2019,Hacking/IT Incident,Email
Capital City Paincare,OH,Healthcare Provider,1012.0,5/31/2019,Hacking/IT Incident,Network Server
"Takai, Hoover, and Hsu, P.A.",MD,Healthcare Provider,16542.0,5/29/2019,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record"
Sunshine Family Dentistry,TX,Healthcare Provider,800.0,5/27/2019,Theft,Network Server
Monroe County Hospital,GA,Healthcare Provider,10970.0,5/25/2019,Hacking/IT Incident,Email
"Huggins Insurance Services, Inc.",OR,Business Associate,667.0,5/24/2019,Hacking/IT Incident,Email
Maranatha Village Inc.,MO,Healthcare Provider,520.0,5/24/2019,Hacking/IT Incident,Email
Healthfirst,NY,Health Plan,1811.0,5/24/2019,Unauthorized Access/Disclosure,Paper/Films
"Talley Medical Surgical Eyecare Associates, PC",IN,Healthcare Provider,106000.0,5/24/2019,Hacking/IT Incident,Network Server
Farmacia La Amistad Inc.,,Healthcare Provider,2500.0,5/24/2019,Hacking/IT Incident,Network Server
TriHealth Physician Practices,OH,Healthcare Provider,2433.0,5/24/2019,Unauthorized Access/Disclosure,Email
Mercy Health Saint Mary's,MI,Healthcare Provider,976.0,5/24/2019,Hacking/IT Incident,Network Server
Centura Health,CO,Healthcare Provider,7515.0,5/22/2019,Hacking/IT Incident,Email
Northwestern Health Sciences University,MN,Healthcare Provider,1198.0,5/21/2019,Hacking/IT Incident,Email
"Hematology Oncology Associates, PC",OR,Healthcare Provider,16073.0,5/21/2019,Hacking/IT Incident,Email
Penn Medicine,PA,Healthcare Provider,917.0,5/21/2019,Unauthorized Access/Disclosure,Electronic Medical Record
"Special Health Resources for Texas, Inc. ",TX,Healthcare Provider,567.0,5/21/2019,Unauthorized Access/Disclosure,Electronic Medical Record
Acadia Montana Treatment Center,MT,Healthcare Provider,14794.0,5/17/2019,Hacking/IT Incident,Email
Cigna,CT,Health Plan,3720.0,5/16/2019,Hacking/IT Incident,Other
Aeroflow Inc.,NC,Healthcare Provider,4450.0,5/16/2019,Hacking/IT Incident,Network Server
"Communities Connected for Kids, Inc. ",FL,Business Associate,192041.0,5/15/2019,Hacking/IT Incident,Network Server
Aging Disability and Transit Services of Rockingham County  ,NC,Healthcare Provider,14000.0,5/15/2019,Hacking/IT Incident,Network Server
"Youth Opportunity Center, Inc.",IN,Healthcare Provider,1150.0,5/14/2019,Unauthorized Access/Disclosure,Paper/Films
"Health Net, LLC.",CA,Health Plan,2404.0,5/13/2019,Unauthorized Access/Disclosure,Paper/Films
Professional Dental Alliance of Florida PLLC d/b/a All Smiles Dentistry,FL,Healthcare Provider,1505.0,5/13/2019,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record"
Encompass Family and internal medicine group,CA,Healthcare Provider,507.0,5/13/2019,Unauthorized Access/Disclosure,"Desktop Computer, Electronic Medical Record"
Memorial Hermann Health System,TX,Healthcare Provider,604.0,5/13/2019,Unauthorized Access/Disclosure,"Electronic Medical Record, Email"
Midwest Medical Center,IL,Healthcare Provider,8010.0,5/10/2019,Hacking/IT Incident,Email
University Medical Center Physicians,TX,Healthcare Provider,3300.0,5/10/2019,Unauthorized Access/Disclosure,"Network Server, Other"
Cancer Treatment Centers of AmericaÂ® (CTCA) at Southeastern Regional Medical Center,GA,Healthcare Provider,16819.0,5/10/2019,Hacking/IT Incident,Email
United Seating and Mobility LLC dba Numotion,CT,Healthcare Provider,3578.0,5/9/2019,Theft,"Laptop, Other Portable Electronic Device, Paper/Films"
"Fort HealthCare, Inc.",WI,Healthcare Provider,19000.0,5/8/2019,Hacking/IT Incident,Email
Bloodworks Northwest,WA,Healthcare Provider,1893.0,5/8/2019,Loss,Paper/Films
UnitedHealth Group Health Plan Single Affiliated Covered Entity,MN,Health Plan,20536.0,5/8/2019,Unauthorized Access/Disclosure,Other
"Independent Health Association, Inc.",NY,Health Plan,7605.0,5/8/2019,Unauthorized Access/Disclosure,Email
Inmediata Health Group,,Healthcare Clearing House,1565338.0,5/7/2019,Unauthorized Access/Disclosure,Network Server
"Hospice Care Plus, Inc.",KY,Healthcare Provider,2033.0,5/6/2019,Unauthorized Access/Disclosure,Laptop
"American Indian Health & Services, Inc. ",CA,Healthcare Provider,3784.0,5/6/2019,Unauthorized Access/Disclosure,Email
"Community Health Network, Inc.",IN,Healthcare Provider,3600.0,5/6/2019,Hacking/IT Incident,Email
Spectrum Health Lakeland,MI,Healthcare Provider,1100.0,5/6/2019,Hacking/IT Incident,Email
"American Medical Response, Inc.",TX,Healthcare Provider,4300.0,5/6/2019,Hacking/IT Incident,Email
American Baptist Homes of the Midwest,MN,Healthcare Provider,10993.0,5/6/2019,Hacking/IT Incident,"Email, Network Server"
"Verity Health System of California, Inc.",CA,Business Associate,662.0,5/3/2019,Hacking/IT Incident,Email
Kelsey Research Foundation,TX,Business Associate,1228.0,5/3/2019,Unauthorized Access/Disclosure,Email
