Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
Sisters of Charity of St. Augustine Health System ,OH,Healthcare Provider,118874,10/1/2020,Hacking/IT Incident,Network Server
"Alliance Spine and Pain Management, PLLC d/b/a Freedom Spine & Pain Center",TX,Healthcare Provider,2235,9/30/2020,Hacking/IT Incident,Email
Oswego Health,NY,Healthcare Provider,13619,9/30/2020,Hacking/IT Incident,Email
North Memorial Health,MN,Healthcare Provider,21236,9/30/2020,Hacking/IT Incident,Network Server
White Plains Hospital  ,NY,Healthcare Provider,7164,9/30/2020,Hacking/IT Incident,Network Server
"Sonoma Recovery Services, LLC d/b/a/ Olympia House ",CA,Healthcare Provider,2527,9/30/2020,Hacking/IT Incident,Network Server
University Muslim Medical Association ,CA,Healthcare Provider,563,9/29/2020,Unauthorized Access/Disclosure,Email
"Excalibur Youth Services, LLC ",SC,Healthcare Provider,2851,9/28/2020,Hacking/IT Incident,Network Server
Voxx International Corp.,FL,Health Plan,6034,9/28/2020,Hacking/IT Incident,Network Server
EyeMed Vision Care LLC,OH,Business Associate,1474000,9/28/2020,Hacking/IT Incident,Email
Preferred Care Home Health Services ,FL,Healthcare Provider,2374,9/28/2020,Hacking/IT Incident,Email
Century Specialty Script,NY,Healthcare Provider,17219,9/28/2020,Hacking/IT Incident,Email
Oaklawn Hospital,MI,Healthcare Provider,26861,9/25/2020,Hacking/IT Incident,Email
Legacy Community Health Services,TX,Healthcare Provider,228009,9/25/2020,Hacking/IT Incident,Email
Scottish Rite for Children,TX,Healthcare Provider,3414,9/25/2020,Hacking/IT Incident,Network Server
Burke Rehabilitation Hospital,NY,Healthcare Provider,64840,9/25/2020,Hacking/IT Incident,Network Server
Stark Summit Ambulance,OH,Healthcare Provider,3700,9/25/2020,Hacking/IT Incident,Email
Mono County,CA,Healthcare Provider,2850,9/25/2020,Hacking/IT Incident,Electronic Medical Record
"Seven Counties Services, Inc.",KY,Healthcare Provider,13375,9/25/2020,Hacking/IT Incident,Email
"MedStar Health, Inc.",MD,Healthcare Provider,668,9/25/2020,Hacking/IT Incident,Network Server
Geisinger Health,PA,Healthcare Provider,717,9/23/2020,Unauthorized Access/Disclosure,Electronic Medical Record
Magnolia Pediatrics,LA,Healthcare Provider,12861,9/23/2020,Hacking/IT Incident,Network Server
Lifetime Middleton LLC,WI,Healthcare Provider,1900,9/23/2020,Theft,Electronic Medical Record
South Shore Hospital,MA,Healthcare Provider,74328,9/23/2020,Hacking/IT Incident,Network Server
AdventHealth Orlando ,FL,Healthcare Provider,1514,9/22/2020,Unauthorized Access/Disclosure,Paper/Films
Montefiore Medical Center,NY,Healthcare Provider,4004,9/18/2020,Unauthorized Access/Disclosure,Electronic Medical Record
"Pollack, Barbaccia, & Guzman MD PC",NY,Healthcare Provider,1135,9/18/2020,Theft,Paper/Films
UCare Minnesota,MN,Health Plan,4806,9/18/2020,Hacking/IT Incident,Email
University of Missouri Health Care,MO,Healthcare Provider,189736,9/17/2020,Hacking/IT Incident,Email
"OrthoAtlanta, LLC",GA,Healthcare Provider,5600,9/17/2020,Hacking/IT Incident,Network Server
HM Health Solutions,PA,Business Associate,1798,9/17/2020,Unauthorized Access/Disclosure,Paper/Films
Sheltering Arms Physical Rehabilitation Centers,VA,Healthcare Provider,683,9/16/2020,Hacking/IT Incident,Network Server
Accents on Health,CO,Healthcare Provider,2000,9/16/2020,Hacking/IT Incident,Network Server
Alameda Health System ,CA,Healthcare Provider,2691,9/15/2020,Hacking/IT Incident,Email
"Community Surgical Supply of Toms River, Inc.",NJ,Healthcare Provider,31550,9/15/2020,Hacking/IT Incident,Email
"Piedmont Cancer Institute, P.C.",GA,Healthcare Provider,5226,9/15/2020,Hacking/IT Incident,Email
Catholic Health System ,SC,Business Associate,61267,9/15/2020,Hacking/IT Incident,Network Server
Nuvance Health,NY,Healthcare Provider,314829,9/15/2020,Hacking/IT Incident,Network Server
Gillette Children's Specialty Healthcare,MN,Healthcare Provider,1766,9/14/2020,Hacking/IT Incident,Network Server
Bluegrass Care Navigators,KY,Healthcare Provider,2343,9/14/2020,Hacking/IT Incident,Network Server
Montefiore Medical Center ,NY,Healthcare Provider,76068,9/14/2020,Hacking/IT Incident,Network Server
Devereux Advanced Behavioral Health,PA,Healthcare Provider,1758,9/14/2020,Hacking/IT Incident,Network Server
Joslin Diabetes Center ,MA,Healthcare Provider,71160,9/14/2020,Hacking/IT Incident,Network Server
Jewish Home Lifecare d/b/a The New Jewish Home,NY,Healthcare Provider,5242,9/14/2020,Hacking/IT Incident,Network Server
Life Enriching Communities,OH,Healthcare Provider,2345,9/14/2020,Hacking/IT Incident,Network Server
Trinity Health ,MI,Business Associate,3320726,9/14/2020,Hacking/IT Incident,Network Server
University of Tennessee Medical Center ,TN,Healthcare Provider,234954,9/14/2020,Hacking/IT Incident,Network Server
Memorial Sloan Kettering Cancer Center ,NY,Healthcare Provider,73536,9/14/2020,Hacking/IT Incident,Network Server
Iowa Health System dba UnityPoint Health Affiliated Covered Entity,IA,Healthcare Provider,27410,9/14/2020,Hacking/IT Incident,Network Server
"Hospice & Palliative Care Buffalo, Inc.  ",NY,Healthcare Provider,47272,9/14/2020,Hacking/IT Incident,Network Server
"Samaritan Daytop Village, Inc.",NY,Healthcare Provider,5890,9/14/2020,Hacking/IT Incident,Network Server
June E. Nylen Cancer Center,IA,Healthcare Provider,500,9/14/2020,Hacking/IT Incident,Network Server
Prelude Behavioral Services ,IA,Healthcare Provider,699,9/14/2020,Hacking/IT Incident,Network Server
Our Lady of the Lake,LA,Healthcare Provider,31166,9/14/2020,Hacking/IT Incident,Network Server
"Christiana Care Health Services, Inc.",DE,Healthcare Provider,1229,9/14/2020,Hacking/IT Incident,Network Server
Connecticut Children's Medical Center,CT,Healthcare Provider,2633,9/14/2020,Hacking/IT Incident,Network Server
The Christ Hospital Health Network,OH,Healthcare Provider,183265,9/14/2020,Hacking/IT Incident,Network Server
Texas Children's Hospital,TX,Healthcare Provider,1987,9/14/2020,Hacking/IT Incident,Network Server
Roswell Park Comprehensive Cancer Center,NY,Healthcare Provider,149126,9/14/2020,Hacking/IT Incident,Network Server
UMass Memorial Medical Center,MA,Healthcare Provider,87404,9/14/2020,Hacking/IT Incident,Network Server
Samaritan Healthcare & Hospice,NJ,Healthcare Provider,3657,9/14/2020,Hacking/IT Incident,Network Server
USA Health,AL,Healthcare Provider,52344,9/14/2020,Hacking/IT Incident,Network Server
"University Health Systems of Eastern Carolina, Inc. dba Vidant Health",NC,Healthcare Provider,77942,9/14/2020,Hacking/IT Incident,Network Server
Lehigh Valley Health Network,PA,Healthcare Provider,81487,9/14/2020,Hacking/IT Incident,Network Server
Veterans Health Administration,DC,Healthcare Provider,44308,9/14/2020,Hacking/IT Incident,Network Server
Stony Brook University Hospital,NY,Healthcare Provider,175191,9/14/2020,Hacking/IT Incident,Network Server
Catholic Medical Center,NH,Healthcare Provider,18623,9/14/2020,Hacking/IT Incident,Network Server
Mount Sinai Health System,NY,Healthcare Provider,87535,9/13/2020,Hacking/IT Incident,Network Server
Lynn Community Health Center,MA,Healthcare Provider,4271,9/13/2020,Hacking/IT Incident,Email
George West Mental Health Foundation dba Skyland Trail,GA,Healthcare Provider,2724,9/12/2020,Hacking/IT Incident,Network Server
"Augusta Health Care, Inc. d/b/a Augusta Health",VA,Healthcare Provider,3061,9/11/2020,Hacking/IT Incident,Network Server
Allina Health,MN,Healthcare Provider,199389,9/11/2020,Hacking/IT Incident,Network Server
Community Medical Centers,CA,Healthcare Provider,43667,9/11/2020,Hacking/IT Incident,Network Server
"Hebrew SeniorLife, Inc. ",MA,Healthcare Provider,27244,9/11/2020,Hacking/IT Incident,Network Server
Riverside Health System,VA,Healthcare Provider,54151,9/11/2020,Hacking/IT Incident,Network Server
"Piedmont Healthcare, Inc.",GA,Healthcare Provider,111588,9/11/2020,Hacking/IT Incident,Network Server
Adventist HealthCare,MD,Healthcare Provider,13041,9/11/2020,Hacking/IT Incident,Network Server
"Southern Indian Health Council, Inc.",CA,Healthcare Provider,727,9/11/2020,Hacking/IT Incident,Email
Medical University of South Carolina,SC,Healthcare Provider,54869,9/11/2020,Hacking/IT Incident,Network Server
"Specialized Alternatives for Families & Youth of America, Inc.",OH,Business Associate,58123,9/11/2020,Hacking/IT Incident,Email
"Community Health Network, Inc. ",IN,Healthcare Provider,81118,9/11/2020,Hacking/IT Incident,Network Server
Children's Minnesota,MN,Healthcare Provider,160268,9/11/2020,Hacking/IT Incident,Network Server
Total Urology Care of New York PLLC,NY,Healthcare Provider,17000,9/10/2020,Unauthorized Access/Disclosure,Electronic Medical Record
Enloe Medical Center,CA,Healthcare Provider,33575,9/10/2020,Hacking/IT Incident,Network Server
SCL Health â€“ Colorado,CO,Healthcare Provider,343493,9/10/2020,Hacking/IT Incident,Network Server
SCL Health â€“ Montana,CO,Healthcare Provider,93642,9/10/2020,Hacking/IT Incident,Network Server
SCL Health â€“ Kansas,CO,Healthcare Provider,3845,9/10/2020,Hacking/IT Incident,Network Server
Mental Health Center of Boulder County Inc. dba Mental Health Partners ,CO,Healthcare Provider,2650,9/9/2020,Hacking/IT Incident,Email
Defense Health Headquarters,VA,Health Plan,1620,9/9/2020,Hacking/IT Incident,Network Server
Inova Health System,VA,Healthcare Provider,1045270,9/9/2020,Hacking/IT Incident,Network Server
Baylor College of Medicine,TX,Healthcare Provider,4586,9/9/2020,Hacking/IT Incident,Network Server
University of Kentucky HealthCare,KY,Healthcare Provider,163774,9/8/2020,Hacking/IT Incident,Network Server
 Virginia Mason Medical Center,WA,Healthcare Provider,244761,9/8/2020,Hacking/IT Incident,Network Server
The Guthrie Clinic,PA,Healthcare Provider,92064,9/8/2020,Hacking/IT Incident,Network Server
Lycoming-Clinton Joinder Board Programs,PA,Business Associate,3905,9/8/2020,Hacking/IT Incident,Email
Roper st. Francis Healthcare ,SC,Healthcare Provider,92963,9/8/2020,Hacking/IT Incident,Network Server
"Starling Physicians, PC",CT,Healthcare Provider,7777,9/4/2020,Hacking/IT Incident,Email
Carnegie Tri-County Municipal Hospital,OK,Healthcare Provider,1076,9/4/2020,Improper Disposal,Paper/Films
"Servicios de Salud Primarios de Barceloneta, Inc. ",,Healthcare Provider,60200,9/4/2020,Hacking/IT Incident,Email
Regions Hospital,MN,Healthcare Provider,52795,9/4/2020,Hacking/IT Incident,Network Server
Advocate Aurora Health,WI,Healthcare Provider,2979,9/4/2020,Unauthorized Access/Disclosure,Paper/Films
Erlanger Health System,TN,Healthcare Provider,4938,9/4/2020,Loss,Other Portable Electronic Device
NorthShore University HealthSystem,IL,Healthcare Provider,348746,9/4/2020,Hacking/IT Incident,Network Server
Roper St. Francis Healthcare,SC,Healthcare Provider,6000,9/3/2020,Hacking/IT Incident,Email
H. Lee Moffitt Cancer Center & Research Institute ,FL,Healthcare Provider,4056,9/2/2020,Theft,"Other Portable Electronic Device, Paper/Films"
"The  Baton Rouge Clinic, A Medical Corporation",LA,Healthcare Provider,308169,9/2/2020,Hacking/IT Incident,"Desktop Computer, Email, Network Server"
Atrium Health,NC,Healthcare Provider,165000,9/1/2020,Hacking/IT Incident,Network Server
Spectrum Health,MI,Healthcare Provider,52711,9/1/2020,Hacking/IT Incident,Network Server
Quality of Life Medical and Research Center,AZ,Healthcare Provider,6000,8/31/2020,Hacking/IT Incident,Network Server
BEACON ORTHOPAEDICS & SPORTS MEDICINE,OH,Healthcare Provider,2869,8/28/2020,Theft,Other
Northwestern Memorial HealthCare,IL,Healthcare Provider,55983,8/28/2020,Hacking/IT Incident,Network Server
"Utah Pathology Services, Inc.",UT,Healthcare Provider,148594,8/28/2020,Hacking/IT Incident,Email
Assured Imaging,AZ,Healthcare Provider,244813,8/27/2020,Hacking/IT Incident,Network Server
Main Line Health,PA,Healthcare Provider,60595,8/26/2020,Hacking/IT Incident,Network Server
Glacier Surgical Associates,AK,Healthcare Provider,1538,8/25/2020,Hacking/IT Incident,Network Server
"OrthoSC, LLC",SC,Healthcare Provider,3027,8/25/2020,Hacking/IT Incident,Email
Waystar Health,KY,Business Associate,1021,8/25/2020,Hacking/IT Incident,Network Server
City of Lafayette ,CO,Healthcare Provider,9149,8/25/2020,Hacking/IT Incident,Network Server
"Consultant Anesthesiologists, Inc.",OH,Healthcare Provider,740,8/25/2020,Theft,Paper/Films
MultiCare Health System,WA,Healthcare Provider,179189,8/22/2020,Hacking/IT Incident,Network Server
Elwyn,PA,Healthcare Provider,16579,8/21/2020,Hacking/IT Incident,Email
HealthFirst Bluegrass,KY,Healthcare Provider,971,8/21/2020,Hacking/IT Incident,Email
Washington State Department of Social and Health Services,WA,Health Plan,648,8/20/2020,Unauthorized Access/Disclosure,Email
Saint Luke's Foundation,MO,Healthcare Provider,360212,8/20/2020,Hacking/IT Incident,Network Server
Humana Inc,KY,Health Plan,564,8/19/2020,Hacking/IT Incident,Other
"Hamilton Health Center, Inc. ",PA,Healthcare Provider,10393,8/18/2020,Hacking/IT Incident,Email
Arnot Health,NY,Healthcare Provider,1164,8/18/2020,Hacking/IT Incident,"Email, Network Server"
Imperium Health LLC,KY,Business Associate,139114,8/17/2020,Hacking/IT Incident,Email
Richard J. Caron Foundation ,PA,Healthcare Provider,22718,8/17/2020,Hacking/IT Incident,Network Server
Cook Children's Medical Center,TX,Healthcare Provider,2827,8/17/2020,Loss,Other Portable Electronic Device
Prospect Medical Holdings (Crozer-Keystone Health System),PA,Healthcare Provider,177023,8/14/2020,Hacking/IT Incident,Network Server
Selected Benefits,PA,Business Associate,8100,8/14/2020,Hacking/IT Incident,Email
"D&S Residential Holdings, LLC",TX,Healthcare Provider,2102,8/14/2020,Hacking/IT Incident,Email
Advocate Aurora Health ,WI,Healthcare Provider,1907,8/14/2020,Unauthorized Access/Disclosure,Paper/Films
University of Florida Health,FL,Healthcare Provider,135959,8/14/2020,Hacking/IT Incident,Network Server
UT Southwestern Medical Center,TX,Healthcare Provider,15535,8/13/2020,Unauthorized Access/Disclosure,Other
Idaho State University Dental Hygiene,ID,Healthcare Provider,543,8/13/2020,Unauthorized Access/Disclosure,Email
"The Iowa Clinic, P.C.",IA,Healthcare Provider,914,8/11/2020,Unauthorized Access/Disclosure,Paper/Films
"BeneSys, Inc.",MI,Business Associate,1070,8/10/2020,Unauthorized Access/Disclosure,Email
Ashley County Medical Center,AR,Healthcare Provider,772,8/7/2020,Unauthorized Access/Disclosure,Electronic Medical Record
"The Connection, Inc.",CT,Healthcare Provider,3736,8/7/2020,Hacking/IT Incident,Email
"Dynasplint Systems, Inc.",MD,Healthcare Provider,102800,8/6/2020,Hacking/IT Incident,Email
Summit Medical Associates,IN,Healthcare Provider,7264,8/4/2020,Hacking/IT Incident,Network Server
Northern Light Health ,ME,Business Associate,304399,8/3/2020,Hacking/IT Incident,"Network Server, Other"
Hoag Clinic,CA,Healthcare Provider,738,8/3/2020,Theft,Laptop
Comanche County Hospital Authority,OK,Health Plan,1112,8/3/2020,Hacking/IT Incident,Email
"St. Peter's Health Partners Medical Associates, P.C.",NY,Healthcare Provider,2333,8/3/2020,Loss,Other
Freeport Regional Health Care Foundation,IL,Healthcare Provider,80795,7/31/2020,Hacking/IT Incident,Email
St. Christopher's Hospital for Children,PA,Healthcare Provider,7557,7/31/2020,Unauthorized Access/Disclosure,Email
Muskingum Valley Health Centers,OH,Healthcare Provider,7447,7/31/2020,Hacking/IT Incident,Electronic Medical Record
Elkins Rehabilitation & Care Center,WV,Healthcare Provider,3127,7/30/2020,Hacking/IT Incident,Email
Berkshire Farm Center and Services for Youth,NY,Healthcare Provider,4950,7/30/2020,Hacking/IT Incident,Network Server
Rite Aid Corporation,PA,Healthcare Provider,13600,7/29/2020,Theft,Paper/Films
Aetna ACE,CT,Health Plan,1084,7/29/2020,Hacking/IT Incident,Email
Beaumont Health,MI,Healthcare Provider,6073,7/28/2020,Hacking/IT Incident,"Email, Network Server"
Children's Hospital Colorado,CO,Healthcare Provider,2553,7/27/2020,Hacking/IT Incident,Email
Owens Ear Center,TX,Healthcare Provider,19908,7/27/2020,Hacking/IT Incident,Network Server
"Behavioral Health Network, Inc.",MA,Healthcare Provider,129571,7/27/2020,Hacking/IT Incident,Network Server
"University of Maryland Faculty Physicians, Inc. / University of Maryland Medical Center",MD,Healthcare Provider,33896,7/24/2020,Hacking/IT Incident,Email
Walgreen Co.,IL,Healthcare Provider,80176,7/24/2020,Theft,"Other Portable Electronic Device, Paper/Films"
Town of Babylon,NY,Healthcare Provider,1974,7/24/2020,Hacking/IT Incident,Email
Foundation Surgical Hospital of San Antonio,TX,Healthcare Provider,1237,7/24/2020,Unauthorized Access/Disclosure,Other
"Supervalu Pharmacies, Inc.",MN,Healthcare Provider,1593,7/24/2020,Theft,"Other, Paper/Films"
CVS Pharmacy,RI,Healthcare Provider,26234,7/24/2020,Loss,Paper/Films
Highpoint Foot & Ankle Center,PA,Healthcare Provider,25554,7/20/2020,Hacking/IT Incident,Network Server
University of Utah,UT,Healthcare Provider,6606,7/20/2020,Hacking/IT Incident,Email
Mountain Peaks Family Practice,UT,Healthcare Provider,1505,7/20/2020,Unauthorized Access/Disclosure,Paper/Films
NCP Healthcare Management Company,MA,Business Associate,78070,7/17/2020,Hacking/IT Incident,Email
"Brandywine Counseling & Community Services, Inc",DE,Healthcare Provider,4139,7/17/2020,Unauthorized Access/Disclosure,Paper/Films
Maryland Health Enterprises DBA Lorien Health Services ,MD,Healthcare Provider,537,7/17/2020,Hacking/IT Incident,Network Server
Allergy and Asthma Clinic of Fort Worth,TX,Healthcare Provider,69777,7/16/2020,Hacking/IT Incident,Network Server
"US HealthCenter, Inc.",WI,Business Associate,1441,7/16/2020,Hacking/IT Incident,Email
